Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),
2022,DTT,Detroit Metropolitan Area,Detroit,MI,312.62,
2022,EEK,Eek Airport,Eek,AK,450.00,
2022,EEN,Dillant Hopkins,Keene,NH,512.67,
2022,EFD,Ellington,Houston,TX,395.67,
2022,EGX,Egegik Airport,Egegik,AK,437.75,
2022,ELY,Ely Airport/Yelland Field,Ely,NV,403.76,
2022,EMK,Emmonak Airport,Emmonak,AK,354.00,
2022,ESF,Esler Regional,Alexandria,LA,382.23,
2022,FFM,Fergus Falls Municipal-Einar Mickelson Field,Fergus Falls,MN,352.93,
2022,FHU,Sierra Vista Municipal-Libby AAF,Fort Huachuca,AZ,303.92,
2022,FKL,Venango Regional,Franklin/Oil City,PA,426.30,
2022,FMN,Four Corners Regional,Farmington,NM,255.15,
2022,FMY,Page Field,Fort Myers,FL,394.29,
2022,FNL,Northern Colorado Regional,Fort Collins/Loveland,CO,369.98,
2022,FOE,Topeka Regional,Topeka,KS,269.34,
2022,FRM,Fairmont Municipal,Fairmont,MN,483.29,
2022,FYU,Fort Yukon Airport,Fort Yukon,AK,359.22,
2022,FYV,Drake Field,Fayetteville,AR,402.07,
2022,GAL,Edward G. Pitka Sr.,Galena,AK,375.29,
2022,GBD,Great Bend Municipal,Great Bend,KS,403.24,
2022,GCN,Grand Canyon National Park,Grand Canyon,AZ,427.89,
2022,GLD,Renner Field Goodland Municipal,Goodland,KS,244.00,
2022,GON,Groton-New London,New London/Groton,CT,344.78,
2022,GPZ,Grand Rapids/Itasca County-Gordon Newstrom Field,Grand Rapids,MN,454.42,
2022,GUP,Gallup Municipal,Gallup,NM,376.46,
2022,HBH,Hobart Bay Airport,Hobart Bay,AK,453.00,
2022,HEZ,Hardy-Anders Field Natchez-Adams County,Natchez,MS,429.29,
2022,HII,Lake Havasu City Airport,Lake Havasu City,AZ,290.86,
2022,HKY,Hickory Regional,Hickory,NC,396.72,
2022,HNM,Hana Airport,Hana,HI,88.38,
2022,HON,Huron Regional,Huron,SD,370.35,
2022,HPV,Princeville,Hanalei,HI,106.29,
2022,HSI,Hastings Municipal,Hastings,NE,383.92,
2022,HSP,Ingalls Field,Hot Springs,VA,144.50,
2022,HUF,Terre Haute Regional,Terre Haute,IN,1126.00,
2022,HUS,Hughes Airport,Hughes,AK,317.00,
2022,HYG,Hydaburg Seaplane Base,Hydaburg,AK,578.00,
2022,HYL,Hollis Seaplane Base,Hollis,AK,698.00,
2022,IAN,Bob Baker Memorial,Kiana,AK,488.00,
2022,IFP,Laughlin/Bullhead International,Bullhead City,AZ,119.13,
2022,IGM,Kingman Airport,Kingman,AZ,343.94,
2022,ILE,Skylark Field,Killeen,TX,380.20,
2022,INT,Smith Reynolds,Winston-Salem,NC,286.91,
2022,IPT,Williamsport Regional,Williamsport,PA,380.82,
2022,ISN,Sloulin Field International,Williston,ND,414.11,
2022,ISO,Kinston Regional Jetport at Stallings Field,Kinston,NC,318.47,
2022,IYK,Inyokern Airport,Inyokern,CA,514.45,
2022,JHW,Chautauqua County/Jamestown,Jamestown,NY,410.91,
2022,JON,Johnston Atoll,Johnston Island,TT,484.93,
2022,KAE,Kake Seaplane Base,Kake,AK,475.78,
2022,KAL,Kaltag Airport,Kaltag,AK,444.00,
2022,KCC,Coffman Cove Seaplane Base,Coffman Cove,AK,765.00,
2022,KCG,Chignik Bay Airport,Chignik Bay,AK,598.50,
2022,KCL,Chignik Lagoon Airport,Chignik Lagoon,AK,260.00,
2022,KFP,False Pass Airport,False Pass,AK,560.00,
2022,KKI,Akiachak Airport,Akiachak,AK,432.33,
2022,KLW,Klawock Airport,Klawock,AK,443.18,
2022,KMO,Manokatak Seaplane Base,Manokotak,AK,378.00,
2022,KOT,Kotlik Airport,Kotlik,AK,360.33,
2022,KOZ,Ouzinkie Airport,Ouzinkie,AK,118.00,
2022,KPC,Port Clarence CGS,Port Clarence,AK,906.00,
2022,KQA,Akutan Airport,Akutan,AK,72.00,
2022,KSM,St. Mary's Airport,St. Mary's,AK,358.43,
2022,KTB,Thorne Bay Seaplane Base,Thorne Bay,AK,306.50,
2022,KTS,Brevig Mission Airport,Brevig Mission,AK,312.50,
2022,KVC,King Cove Airport,King Cove,AK,566.17,
2022,KVL,Kivalina Airport,Kivalina,AK,646.25,
2022,LAF,Purdue University,Lafayette,IN,395.32,
2022,LFK,Angelina County,Lufkin,TX,854.25,
2022,LMT,Crater Lake Klamath Regional,Klamath Falls,OR,337.33,
2022,LPS,Lopez Island Airport,Lopez Island,WA,302.00,
2022,LRU,Las Cruces International,Las Cruces,NM,396.50,
2022,LUP,Kalaupapa Airport,Kalaupapa,HI,77.40,
2022,LUR,Cape Lisburne LRRS,Cape Lisburne,AK,323.00,
2022,LWT,Lewistown Municipal,Lewistown,MT,597.67,
2022,MCE,Merced Yosemite Regional,Merced,CA,394.15,
2022,MDH,Southern Illinois,Carbondale,IL,253.92,
2022,MHE,Mitchell Municipal,Mitchell,SD,393.96,
2022,MKT,Mankato Regional,Mankato,MN,505.47,
2022,MLL,Marshall Don Hunter Sr.,Marshall,AK,389.50,
2022,MLS,Frank Wiley Field,Miles City,MT,420.43,
2022,MMH,Mammoth Lakes Airport,Mammoth Lakes,CA,296.50,
2022,MNM,Menominee Regional,Marinette,MI,427.42,
2022,MOD,Modesto City-County-Harry Sham Field,Modesto,CA,443.53,
2022,MOU,Mountain Village Airport,Mountain Village,AK,280.00,
2022,MPB,Watson Island International,Miami,FL,175.00,
2022,MTH,The Florida Keys Marathon International,Marathon,FL,283.43,
2022,MTM,Metlakatala,Metlakatla,AK,388.67,
2022,MTO,Coles County Memorial,Mattoon/Charleston,IL,292.25,
2022,MWH,Grant County International,Moses Lake,WA,241.90,
2022,NLG,Nelson Lagoon Airport,Nelson Lagoon,AK,730.00,
2022,NUL,Nulato Airport,Nulato,AK,448.50,
2022,NUP,Nunapitchuk Airport,Nunapitchuk,AK,357.00,
2022,NYC,New York City Metropolitan Area,New York,NY,393.09,
2022,ODW,A.J. Eisenberg,Oak Harbor,WA,399.40,
2022,OFK,Norfolk Regional/Karl Stefan Memorial Field,Norfolk,NE,378.54,
2022,OOK,Toksook Bay,Toksook,AK,447.00,
2022,ORL,Exec,Orlando,FL,368.21,
2022,ORV,Robert/Bob/Curtis Memorial,Noorvik,AK,828.00,
2022,OSH,Wittman Regional,Oshkosh,WI,343.01,
